Handle,Share of Active Users,Tokens Allocated
marcomirabella,0.00037%,11.18
mut031,0.00037%,11.18
socool,0.00037%,11.18
clindo,0.00037%,11.18
glr17,0.00037%,11.18
tonybrooks223,0.00037%,11.18
menezesphill,0.00037%,11.18
qapquiz,0.00037%,11.18
cvatch,0.00037%,11.18
plazmafreak,0.00037%,11.18
spacealnz8we,0.00037%,11.18
ebubeud,0.00037%,11.18
michael811,0.00037%,11.18
qmzik,0.00037%,11.18
mzolkiewski,0.00037%,11.18
kels,0.00037%,11.18
flyinglimao,0.00037%,11.18
thejaay,0.00037%,11.18
chidichuks,0.00037%,11.18
cartesiproject,0.00037%,11.18
hattyot,0.00037%,11.18
code-log,0.00037%,11.18
c2oo13,0.00037%,11.18
philip3000,0.00037%,11.18
crabtr26,0.00037%,11.18
chicell2004,0.00037%,11.18
olisa4,0.00037%,11.18
juliebabe,0.00037%,11.18
alts-anonymous,0.00037%,11.18
oleksiivinogradov,0.00037%,11.18
carlfairclough,0.00037%,11.18
sontieu,0.00037%,11.18
saschaeggi,0.00037%,11.18
ahmetoznar,0.00037%,11.18
kelvin147789,0.00037%,11.18
shawticus,0.00037%,11.18
mikolajroszak,0.00037%,11.18
ummiye,0.00037%,11.18
amogh-jrules,0.00037%,11.18
michael19932k,0.00037%,11.18
calicokittencat,0.00037%,11.18
liljohnyeayuh,0.00037%,11.18
phog45,0.00037%,11.18
parkparkington,0.00037%,11.18
erich0123,0.00037%,11.18
br909095,0.00037%,11.18
korrio,0.00037%,11.18
serinuntius,0.00037%,11.18
king-st,0.00037%,11.18
vorcigernix,0.00037%,11.18
prdex,0.00037%,11.18
aadorjanfi365,0.00037%,11.18
hardbae,0.00037%,11.18
digitalurchman,0.00037%,11.18
stp5940,0.00037%,11.18
waultfinance,0.00037%,11.18
kataloo,0.00037%,11.18
eltneg,0.00037%,11.18
erinzzhang,0.00037%,11.18
vulkhan42,0.00037%,11.18
an69ara,0.00037%,11.18
syrupbunny,0.00037%,11.18
whoiam911,0.00037%,11.18
indexed-github,0.00037%,11.18
bee-n-bee-hive,0.00037%,11.18
richance,0.00037%,11.18
andytreee,0.00037%,11.18
mikkyme2,0.00037%,11.18
marcussu,0.00037%,11.18
simplysolutionsnonprofit1,0.00037%,11.18
hephyrius,0.00037%,11.18
slowbro2020future,0.00037%,11.18
anneboleyn2017,0.00037%,11.18
hackthefuturebinance,0.00037%,11.18
sushiswap_ai,0.00037%,11.18
hustlehard888,0.00037%,11.18
enriavil1,0.00037%,11.18
ubaid-123,0.00037%,11.18
rsderek,0.00037%,11.18
saitama68,0.00037%,11.18
borples,0.00037%,11.18
echolinq,0.00037%,11.18
courtneyzang,0.00037%,11.18
ryuuzakieru,0.00037%,11.18
flookkrup,0.00037%,11.18
devcoral,0.00037%,11.18
alitarim,0.00037%,11.18
fankouzu,0.00037%,11.18
dome,0.00037%,11.18
vofswords,0.00037%,11.18
swayam-ed,0.00037%,11.18
fdanso,0.00037%,11.18
zdesbr,0.00037%,11.18
vikram8260,0.00037%,11.18
teyis,0.00037%,11.18
idreexe,0.00037%,11.18
meaj,0.00037%,11.18
tshoks14,0.00037%,11.18
aceking2021,0.00037%,11.18
olivera1234,0.00037%,11.18
erogge6,0.00037%,11.18
chenjonathanli,0.00037%,11.18
krasops,0.00037%,11.18
mem4934,0.00037%,11.18
abhazelton,0.00037%,11.18
0xtangerine,0.00037%,11.18
vologezb,0.00037%,11.18
doreez,0.00037%,11.18
gitcoingrants,0.00037%,11.18
aeither,0.00037%,11.18
likepeas,0.00037%,11.18
megazord88,0.00037%,11.18
basilis18,0.00037%,11.18
infa-sdiwan,0.00037%,11.18
bl3ykzfyd7,0.00037%,11.18
zombiehobbes,0.00037%,11.18
sarotor,0.00037%,11.18
ethprofit,0.00037%,11.18
white-rabbit-7,0.00037%,11.18
dlko231434m,0.00037%,11.18
poison20-star,0.00037%,11.18
sgn-047,0.00037%,11.18
tbcmart,0.00037%,11.18
rushiwadkar007,0.00037%,11.18
xx2122,0.00037%,11.18
to391,0.00037%,11.18
istekis,0.00037%,11.18
marcoosh,0.00037%,11.18
nic4242,0.00037%,11.18
ibgavin,0.00037%,11.18
adichat,0.00037%,11.18
usb200,0.00037%,11.18
phoenixfire0007,0.00037%,11.18
kalef07,0.00037%,11.18
warrsaw,0.00037%,11.18
boonetb,0.00037%,11.18
git-sls,0.00037%,11.18
defidefidefi,0.00037%,11.18
vinzzzzz2000,0.00037%,11.18
trinsys,0.00037%,11.18
luna1retic,0.00037%,11.18
prestito4,0.00037%,11.18
cryptomaniac31,0.00037%,11.18
kashmar88,0.00037%,11.18
princenoctisff,0.00037%,11.18
junker4184,0.00037%,11.18
gonegolds88,0.00037%,11.18
timimpalacrypto,0.00037%,11.18
nbnam92,0.00037%,11.18
xueting152848,0.00037%,11.18
breezero,0.00037%,11.18
schism1328,0.00037%,11.18
matthijsvink5,0.00037%,11.18
lukeology,0.00037%,11.18
nickcarneiro,0.00037%,11.18
abashd,0.00037%,11.18
headiextb,0.00037%,11.18
tayboonsiang90,0.00037%,11.18
bshater,0.00037%,11.18
subsidiumdigital,0.00037%,11.18
samirabis,0.00037%,11.18
leonfirm,0.00037%,11.18
centerprime,0.00037%,11.18
sanjeevkumar761,0.00037%,11.18
pscrypt,0.00037%,11.18
masquel,0.00037%,11.18
50ethpuzzle,0.00037%,11.18
aschkan90,0.00037%,11.18
codebrent,0.00037%,11.18
0xmax0x,0.00037%,11.18
ncdevman,0.00037%,11.18
sammdec,0.00037%,11.18
grishick,0.00037%,11.18
cyh76507707,0.00037%,11.18
theusersname,0.00037%,11.18
lz5200,0.00037%,11.18
mike-adediran,0.00037%,11.18
mccrearyd,0.00037%,11.18
eluculent,0.00037%,11.18
wildmouse,0.00037%,11.18
melipatibos,0.00037%,11.18
bmer19,0.00036%,10.90
wanglucc-gh,0.00036%,10.90
an11tcool,0.00036%,10.90
roylang1980,0.00036%,10.90
gaurav569,0.00036%,10.90
tdw0530,0.00036%,10.90
vmalinowski,0.00036%,10.90
zhuchao0211,0.00036%,10.90
techmental,0.00036%,10.90
captainvarun,0.00036%,10.90
lukegibbs,0.00036%,10.90
dsyuluo,0.00036%,10.90
daicy1125,0.00036%,10.90
shijie2021,0.00036%,10.90
aferna015,0.00036%,10.90
camafer01,0.00036%,10.90
am150768,0.00036%,10.90
afc6815,0.00036%,10.90
statefulworks,0.00036%,10.90
defiyieldprotocol,0.00036%,10.90
z0rlord,0.00036%,10.90
sirpy,0.00036%,10.90
osam119,0.00036%,10.90
zhuo79676,0.00036%,10.90
wmengti,0.00036%,10.90
dungnguyen3398,0.00036%,10.90
ddlbaf,0.00036%,10.90
onchained,0.00036%,10.90
apyvision,0.00036%,10.90
zhoujiae,0.00036%,10.90
charlotte-crypto,0.00036%,10.90
y3w1,0.00036%,10.90
atinst,0.00036%,10.90
lzh828,0.00036%,10.90
shuaihouzi,0.00036%,10.90
swatchthe,0.00036%,10.90
zheng-zhi-ming11,0.00036%,10.90
0xnomore,0.00036%,10.90
samiulvai007,0.00036%,10.90
cindystone,0.00036%,10.90
yuttanabigrock,0.00036%,10.90
hardensky,0.00036%,10.90
bitpickles,0.00036%,10.90
duck1q84,0.00036%,10.90
geyuting1995,0.00036%,10.90
shingo25,0.00036%,10.90
tingting313,0.00036%,10.90
jay584584,0.00036%,10.90
shiertian,0.00036%,10.90
mountainfirefly,0.00036%,10.90
rakibvai008,0.00036%,10.90
z1314521,0.00036%,10.90
liugod8,0.00036%,10.90
keys17x,0.00036%,10.90
9aif,0.00036%,10.90
woody168,0.00036%,10.90
circa-eth,0.00036%,10.90
hackobi,0.00036%,10.90
miaomiao1717,0.00036%,10.90
lvsmanhole,0.00036%,10.90
laykarfine,0.00036%,10.90
nickparsons77,0.00036%,10.90
uraniqtge,0.00036%,10.90
glandua,0.00036%,10.90
dongsong6321,0.00036%,10.90
omgbenido,0.00036%,10.90
wish0defi,0.00036%,10.90
pcfli,0.00036%,10.90
mhtkao,0.00036%,10.90
jasonsunjian,0.00036%,10.90
s1mba0,0.00036%,10.90
ameanlr,0.00036%,10.90
yuanyuandu,0.00036%,10.90
crassusilver,0.00036%,10.90
shon636,0.00036%,10.90
dotscan,0.00036%,10.90
zr14010694,0.00036%,10.90
negativ3x,0.00036%,10.90
matthiascii,0.00036%,10.90
altailabs,0.00036%,10.90
m-r-turtle,0.00036%,10.90
4roz,0.00036%,10.90
aries960206,0.00036%,10.90
nftz,0.00036%,10.90
mehmetccebi,0.00036%,10.90
shuihuomoshi,0.00036%,10.90
lrazovic,0.00036%,10.90
annabelea,0.00036%,10.90
arthurtribuzi,0.00036%,10.90
jiushigan,0.00036%,10.90
jaywelsh,0.00036%,10.90
travisleroy-gh,0.00036%,10.90
daolu950989tanl,0.00036%,10.90
slottydude,0.00036%,10.90
baikal4,0.00036%,10.90
muffinswap,0.00036%,10.90
samuelarlig,0.00036%,10.90
eltoken,0.00036%,10.90
martagonz,0.00036%,10.90
grantorinopioneer10,0.00036%,10.90
torchhorse,0.00036%,10.90
agrophobe,0.00036%,10.90
swynne2,0.00036%,10.90
mattarad,0.00036%,10.90
jaycodon,0.00036%,10.90
finnious,0.00036%,10.90
mohammednagdy,0.00036%,10.90
ycstgit,0.00036%,10.90
gabriel-wilkes,0.00036%,10.90
xiyu325,0.00036%,10.90
komadaishere,0.00036%,10.90
zazoley,0.00036%,10.90
edmundedgar,0.00036%,10.90
masquot,0.00036%,10.90
artbaby,0.00036%,10.90
adamphan55555,0.00036%,10.90
nigeldesouza,0.00036%,10.90
metranas,0.00036%,10.90
khoruzhyi,0.00036%,10.90
dozzy-alt,0.00036%,10.90
yuristturist,0.00036%,10.90
awsmastro,0.00036%,10.90
gretabarrett20,0.00036%,10.90
lazy1211,0.00036%,10.90
ashakov,0.00036%,10.90
septembermd,0.00036%,10.90
welziewagers2015,0.00036%,10.90
olikostru,0.00036%,10.90
tyvian,0.00036%,10.90
jimm12,0.00036%,10.90
olego13,0.00036%,10.90
tdw0531,0.00036%,10.90
buergertheresa,0.00036%,10.90
paull-byte,0.00036%,10.90
h1tthat,0.00036%,10.90
y1tang,0.00036%,10.90
naughtboo,0.00036%,10.90
imparag28,0.00036%,10.90
blockwar,0.00036%,10.90
gokaiorg,0.00036%,10.90
arslanilyasovich,0.00036%,10.90
mrprosper,0.00036%,10.90
cb1629966,0.00036%,10.90
mortimr,0.00036%,10.90
tomasla,0.00036%,10.90
zhaifg,0.00036%,10.90
jameslu041,0.00036%,10.90
mhastarichard,0.00036%,10.90
chaciak,0.00036%,10.90
josepeh56,0.00036%,10.90
tim636,0.00036%,10.90
sevak-crypto,0.00036%,10.90
wearn601,0.00036%,10.90
overacheiever,0.00036%,10.90
rarity-studio,0.00036%,10.90
armythai8710,0.00036%,10.90
nikitapirate,0.00036%,10.90
djarthur78,0.00036%,10.90
zyk199412,0.00036%,10.90
coreylocket,0.00036%,10.90
wahyu243,0.00036%,10.90
nguyenthoi,0.00036%,10.90
anka01anka,0.00036%,10.90
yaanukmikhail,0.00036%,10.90
colorbro3,0.00036%,10.90
ednamodesun,0.00036%,10.90
snackman,0.00036%,10.90
dallasgoh,0.00036%,10.90
escolazo-4000,0.00036%,10.90
ethdevg,0.00036%,10.90
karbafoo,0.00036%,10.90
fuzaifei,0.00036%,10.90
yu-nmzk,0.00036%,10.90
mrrpo,0.00036%,10.90
solgun58,0.00036%,10.90
ishara689,0.00036%,10.90
bitcoinbender,0.00036%,10.90
rebs-beep,0.00036%,10.90
abell1835neo,0.00036%,10.90
bitcether,0.00036%,10.90
piti-3001,0.00036%,10.90
kimiccc,0.00036%,10.90
xiaolaohu1991,0.00036%,10.90
pitanga3030,0.00036%,10.90
catalanga2020,0.00036%,10.90
catalonga2020,0.00036%,10.90
bobbyrozz,0.00036%,10.90
jessica415178552,0.00036%,10.90
jmusighi,0.00036%,10.90
pellitz00,0.00036%,10.90
georgeroman,0.00036%,10.90
pmhieu111,0.00036%,10.90
michaelshapkin,0.00036%,10.90
rohanp,0.00036%,10.90
seybi,0.00036%,10.90
fyzxc,0.00036%,10.90
lylunula,0.00036%,10.90
daviddingshanghai,0.00036%,10.90
elynks,0.00036%,10.90
h4nv,0.00036%,10.90
economicsdesign,0.00036%,10.90
beforesunsetwind,0.00036%,10.90
78n6,0.00036%,10.90
elpepelui2020,0.00036%,10.90
3og1,0.00036%,10.90
rekata2021,0.00036%,10.90
peluka2021,0.00036%,10.90
pelekuarda2021,0.00036%,10.90
rifelliet,0.00036%,10.90
blazekingz13,0.00036%,10.90
mkltn,0.00036%,10.90
rd2a,0.00036%,10.90
eemjay17,0.00036%,10.90
michiux,0.00036%,10.90
fulmixii,0.00036%,10.90
ylsr,0.00036%,10.90
tickertock88,0.00036%,10.90
flowerkarate86,0.00036%,10.90
rygielskibartosz,0.00036%,10.90
techknowlogick,0.00036%,10.90
stickman007,0.00036%,10.90
8ku6,0.00036%,10.90
vhmanu,0.00036%,10.90
sandymariadonor,0.00036%,10.90
cornerfodder,0.00036%,10.90
brudda5,0.00036%,10.90
tecnogames12,0.00036%,10.90
ssergey911,0.00036%,10.90
min-kim42,0.00036%,10.90
akawaja,0.00036%,10.90
ebubuemma1,0.00036%,10.90
scottflenniken,0.00036%,10.90
em0j,0.00036%,10.90
sun-chengxuan,0.00036%,10.90
simonfuture2,0.00036%,10.90
phao0309,0.00036%,10.90
puchhu,0.00036%,10.90
darknesr,0.00036%,10.90
erodotos,0.00036%,10.90
pedibox,0.00036%,10.90
neyor44,0.00036%,10.90
shumagorath86,0.00036%,10.90
akd-max,0.00036%,10.90
gtap56,0.00036%,10.90
djreducer,0.00036%,10.90
hishamamer99,0.00036%,10.90
zengsheng1987,0.00036%,10.90
dockrak,0.00036%,10.90
yasashi-defi,0.00036%,10.90
nonondeco,0.00036%,10.90
resunresun,0.00036%,10.90
66crypto,0.00036%,10.90
moneymandoug,0.00036%,10.90
marklar21,0.00036%,10.90
fatfat714,0.00036%,10.90
hapob,0.00036%,10.90
xiange861103,0.00036%,10.90
iurikothe,0.00036%,10.90
quasimondo,0.00036%,10.90
howardpinsky,0.00036%,10.90
platon2323,0.00036%,10.90
ertdfgcvb,0.00036%,10.90
lorenbednar,0.00036%,10.90
temsyter,0.00036%,10.90
caribbeanglitch,0.00036%,10.90
thesarahshow,0.00036%,10.90
jaendotart,0.00036%,10.90
untitledxyz,0.00036%,10.90
aspalter7,0.00036%,10.90
haishinaomi1,0.00036%,10.90
haishinaomi2,0.00036%,10.90
lubi2hao,0.00036%,10.90
bryanbrinkman,0.00036%,10.90
xcymo,0.00036%,10.90
travinimmunefi,0.00036%,10.90
ifan7,0.00036%,10.90
ggboop,0.00036%,10.90
offshoot3d,0.00036%,10.90
1.37E+10,0.00036%,10.90
claytonfigmentnetworks,0.00036%,10.90
uxbammo,0.00036%,10.90
blabtonic,0.00036%,10.90
amputee,0.00036%,10.90
maplehero,0.00036%,10.90
pumbec,0.00036%,10.90
wanglonghong,0.00036%,10.90
stevenzw,0.00036%,10.90
cmy1086,0.00036%,10.90
hydrogin,0.00036%,10.90
kirstyas,0.00036%,10.90
mmuravlev,0.00036%,10.90
strahl12,0.00036%,10.90
melon-bread,0.00036%,10.90
hhh111111a,0.00036%,10.90
jodt-art,0.00036%,10.90
loganthadude,0.00036%,10.90
sboesen,0.00036%,10.90
0xgenesis,0.00036%,10.90
jkarsenty,0.00036%,10.90
tufitko,0.00036%,10.90
fighter36159,0.00036%,10.90
kutecrypto,0.00036%,10.90
nicelot,0.00036%,10.90
shroomdaddy,0.00036%,10.90
nageshavusingi,0.00036%,10.90
degenertrade,0.00036%,10.90
aamfsjr,0.00036%,10.90
morzenmebs,0.00036%,10.90
anxd10,0.00036%,10.90
steffenix,0.00036%,10.90
ddcc7,0.00036%,10.90
fluxresearch,0.00036%,10.90
mansoorop,0.00036%,10.90
iiqingyise,0.00036%,10.90
popogao,0.00036%,10.90
di068207mibi3,0.00036%,10.90
coopooc11,0.00036%,10.90
subuhui,0.00036%,10.90
krahja,0.00036%,10.90
chauhb,0.00036%,10.90
thickforest,0.00036%,10.90
roodone,0.00036%,10.90
fernaxd,0.00036%,10.90
archerystorm66,0.00036%,10.90
zonesemes,0.00036%,10.90
pietimonfig,0.00036%,10.90
cheeseflyran,0.00036%,10.90
hamearthyrat,0.00036%,10.90
scarfacebeef25,0.00036%,10.90
cygnusquasar,0.00036%,10.90
hangglidinggoldfish,0.00036%,10.90
locksn1987a,0.00036%,10.90
earthsalacia90,0.00036%,10.90
romanholidaybrandy,0.00036%,10.90
grootiok-1,0.00036%,10.90
garlicbreadcheesesticks,0.00036%,10.90
githbu1,0.00036%,10.90
konopq,0.00036%,10.90
93i7xo2,0.00036%,10.90
waxilian,0.00036%,10.90
jianglijie,0.00036%,10.90
apricotorgan,0.00036%,10.90
beem777,0.00036%,10.90
doerqu,0.00036%,10.90
bow064944,0.00036%,10.90
cococonnie,0.00036%,10.90
randyatris27,0.00036%,10.90
luisblancoach,0.00036%,10.90
jondwillis,0.00036%,10.90
aryzle,0.00036%,10.90
reachjason,0.00036%,10.90
unpopinvestor,0.00036%,10.90
wenchaolove,0.00036%,10.90
ryan-snyder,0.00036%,10.90
jeffhoo79005516,0.00036%,10.90
33357,0.00036%,10.90
lf9037,0.00036%,10.90
albertswanger,0.00036%,10.90
tdw0532,0.00036%,10.90
aslawson,0.00036%,10.90
sunboy88,0.00036%,10.90
robbertvanelk,0.00036%,10.90
kakaomrx,0.00036%,10.90
kaizenrnd,0.00036%,10.90
sophiartl,0.00036%,10.90
a51885488,0.00036%,10.90
rchien1,0.00036%,10.90
gspteck,0.00036%,10.90
savjm,0.00036%,10.90
danieldecampeau,0.00036%,10.90
tdotsonon1,0.00036%,10.90
professorjey,0.00036%,10.90
swiez,0.00036%,10.90
brodyann7,0.00036%,10.90
leannu,0.00036%,10.90
kdswag88,0.00036%,10.90
chesterbella,0.00036%,10.90
alexr-91,0.00036%,10.90
cryptoperchik,0.00036%,10.90
yuribeats,0.00036%,10.90
mukieez0123,0.00036%,10.90
berry383838,0.00036%,10.90
nickster64,0.00036%,10.90
komaki5963,0.00036%,10.90
tdw0533,0.00036%,10.90
christo41885059,0.00036%,10.90
faxalin,0.00036%,10.90
jpycoin,0.00036%,10.90
nft1688,0.00036%,10.90
upnorthmineit,0.00036%,10.90
kingboss568,0.00036%,10.90
itoeni,0.00036%,10.90
pshadow1,0.00036%,10.90
finstreet-india,0.00036%,10.90
martinmaker,0.00036%,10.90
tdw0534,0.00036%,10.90
tchataigner,0.00036%,10.90
tdw0536,0.00036%,10.90
tdw0537,0.00036%,10.90
james1259,0.00036%,10.90
crampop,0.00036%,10.90
incryptedmedia,0.00036%,10.90
xiaoxuan2021,0.00036%,10.90
cryptomagic14,0.00036%,10.90
cryptomason1,0.00036%,10.90
yermoo,0.00036%,10.90
mike737pp,0.00036%,10.90
cryptax2,0.00036%,10.90
cryptodemon,0.00036%,10.90
pents90,0.00036%,10.90
git2you,0.00036%,10.90
whatisdisvelvet,0.00036%,10.90
tiover,0.00036%,10.90
tysontwo,0.00036%,10.90
bejarano-tech,0.00036%,10.90
tdw0538,0.00036%,10.90
jushiung,0.00036%,10.90
yummypokebowl,0.00036%,10.90
tdw0539,0.00036%,10.90
tdw0540,0.00036%,10.90
davenguyen88,0.00036%,10.90
communsim,0.00036%,10.90
epm211,0.00036%,10.90
salabs0331,0.00036%,10.90
wangersina,0.00036%,10.90
dashanlinxi,0.00036%,10.90
helpfulbro,0.00036%,10.90
mlazarm,0.00036%,10.90
morozovayanka,0.00036%,10.90
sandysmarton,0.00036%,10.90
vietmazze,0.00036%,10.90
ashfaqmehmood,0.00036%,10.90
bacdayhx,0.00036%,10.90
subzeroz,0.00036%,10.90
pendulum145,0.00036%,10.90
kcirrde,0.00036%,10.90
test-harsh,0.00036%,10.90
cryptoguy844,0.00036%,10.90
turtde,0.00036%,10.90
stonu,0.00036%,10.90
xhanuman,0.00036%,10.90
zsmate13,0.00036%,10.90
damien90154,0.00036%,10.90
abriasinte,0.00036%,10.90
sporanopbuy,0.00036%,10.90
nierecamen,0.00036%,10.90
xietuallalink,0.00036%,10.90
nsk09jo,0.00036%,10.90
tdw0542,0.00036%,10.90
tdw0543,0.00036%,10.90
ayutausagi,0.00036%,10.90
tdw0544,0.00036%,10.90
tdw0545,0.00036%,10.90
pokemon-trainer,0.00036%,10.90
fakill999,0.00036%,10.90
jasonghazal,0.00036%,10.90
sheikh-a,0.00036%,10.90
vcxewrwe,0.00036%,10.90
eninspace,0.00036%,10.90
bogdanteodoru,0.00036%,10.90
maghayev,0.00036%,10.90
tdw0546,0.00036%,10.90
quartzrus,0.00036%,10.90
cubedao,0.00036%,10.90
ierngrepom867,0.00036%,10.90
nresrtojmlkml679,0.00036%,10.90
ksjuebvalkueujh4573,0.00036%,10.90
unerssersjrtjs4575,0.00036%,10.90
staniliashevskii,0.00036%,10.90
rock8887,0.00036%,10.90
project-cancerex,0.00036%,10.90
petrushka123,0.00036%,10.90
cryprogods,0.00036%,10.90
jf10r,0.00036%,10.90
badesnones,0.00036%,10.90
madgraph,0.00036%,10.90
melihm371,0.00036%,10.90
jokeryi1018,0.00036%,10.90
eignstein,0.00036%,10.90
anrey27it,0.00036%,10.90
tdw0547,0.00036%,10.90
tdw0548,0.00036%,10.90
mkragness,0.00036%,10.90
tdw0549,0.00036%,10.90
tdw0550,0.00036%,10.90
perfectzh,0.00036%,10.90
chiefjamal,0.00036%,10.90
yinbowei,0.00036%,10.90
olegovpavel,0.00036%,10.90
jb-bar,0.00036%,10.90
torchsir,0.00036%,10.90
konstantin144,0.00036%,10.90
mxggie-wxng,0.00036%,10.90
qibinglee,0.00036%,10.90
tiptop16,0.00036%,10.90
alexandro14,0.00036%,10.90
ren06,0.00036%,10.90
lallaamber,0.00036%,10.90
eddyzzzz,0.00036%,10.90
jf3h9fhw9hf3,0.00036%,10.90
dfredenburg,0.00036%,10.90
alakazam-ai,0.00036%,10.90
noahfigueras,0.00036%,10.90
nitu-varma,0.00036%,10.90
jingonzalez,0.00036%,10.90
avinash-bit,0.00036%,10.90
michael-cloud,0.00036%,10.90
sygmei,0.00036%,10.90
kujiii,0.00036%,10.90
percy-jackson899,0.00036%,10.90
shuemose,0.00036%,10.90
richestmaninbabylon,0.00036%,10.90
jbboy9,0.00036%,10.90
kingsilverrepublic,0.00036%,10.90
liying-w,0.00036%,10.90
qwe0551,0.00036%,10.90
qws0552,0.00036%,10.90
qwe0553,0.00036%,10.90
tobeaj2mer01,0.00036%,10.90
qas0554,0.00036%,10.90
mvzu1,0.00036%,10.90
pwww,0.00036%,10.90
qzx0555,0.00036%,10.90
qads0556,0.00036%,10.90
bitbless,0.00036%,10.90
dereek69,0.00036%,10.90
dwq0557,0.00036%,10.90
aysha8665,0.00036%,10.90
awds0558,0.00036%,10.90
smartass111,0.00036%,10.90
awd0559,0.00036%,10.90
qwa0560,0.00036%,10.90
zk1a,0.00036%,10.90
fundebussy,0.00036%,10.90
sabretoothspartan,0.00036%,10.90
xterahel,0.00036%,10.90
ethercards-cloud,0.00036%,10.90
shenzhimeng,0.00036%,10.90
pileofscraps,0.00036%,10.90
jawsforck,0.00036%,10.90
artzzzz,0.00036%,10.90
liliantuanwdd,0.00036%,10.90
entropcity,0.00036%,10.90
onekill0503,0.00036%,10.90
yu-cher,0.00036%,10.90
m29q,0.00036%,10.90
cryp-too,0.00036%,10.90
ape-mario,0.00036%,10.90
theether2077,0.00036%,10.90
estornk,0.00036%,10.90
qaz0561,0.00036%,10.90
jugalvaidya,0.00036%,10.90
illusion-py,0.00036%,10.90
wqe0562,0.00036%,10.90
pedromlcosta,0.00036%,10.90
chickendrum88,0.00036%,10.90
92z2,0.00036%,10.90
redsniperlily,0.00036%,10.90
c2lion,0.00036%,10.90
qwe0563,0.00036%,10.90
verachenxuan,0.00036%,10.90
programfirstq,0.00036%,10.90
benleibig,0.00036%,10.90
awqw0564,0.00036%,10.90
qwe0565,0.00036%,10.90
qwe0566,0.00036%,10.90
qwe0567,0.00036%,10.90
koalakara69,0.00036%,10.90
jye924,0.00036%,10.90
qwe0568,0.00036%,10.90
qwe0569,0.00036%,10.90
awd0570,0.00036%,10.90
saqd0571,0.00036%,10.90
ert0572,0.00036%,10.90
zfe0573,0.00036%,10.90
few0574,0.00036%,10.90
zd0575,0.00036%,10.90
ysqi,0.00036%,10.90
enc0d3,0.00036%,10.90
nyyanks89,0.00036%,10.90
timo-354,0.00036%,10.90
jackon0994,0.00036%,10.90
henrysimpson1988,0.00036%,10.90
qwe0576,0.00036%,10.90
neocho,0.00036%,10.90
primedao-admin,0.00036%,10.90
qwx0577,0.00036%,10.90
bette7,0.00036%,10.90
hitchhooker,0.00036%,10.90
pumpkinsflipsk8,0.00036%,10.90
awd0579,0.00036%,10.90
asw0578,0.00036%,10.90
datafreak11,0.00036%,10.90
victor-defi,0.00036%,10.90
3dw1nm0535,0.00036%,10.90
ashenone,0.00036%,10.90
qas0580,0.00036%,10.90
sunny9280,0.00036%,10.90
wawd0581,0.00036%,10.90
secagywea,0.00036%,10.90
mikedargie,0.00036%,10.90
tallalotsi,0.00036%,10.90
ethyuan,0.00036%,10.90
riolekecal,0.00036%,10.90
oradfadu1984,0.00036%,10.90
tijimcheta,0.00036%,10.90
dentlotnay,0.00036%,10.90
ininomli,0.00036%,10.90
landlecater,0.00036%,10.90
prinunripro,0.00036%,10.90
mauricechristopher,0.00036%,10.90
sirsuhayb,0.00036%,10.90
awd0582,0.00036%,10.90
qwd0583,0.00036%,10.90
winengc5195,0.00036%,10.90
awd0584,0.00036%,10.90
posix4e,0.00036%,10.90
samueldashadrach,0.00036%,10.90
tkmct,0.00036%,10.90
iblogg,0.00036%,10.90
fudorec,0.00036%,10.90
wesharding,0.00036%,10.90
kristinlow,0.00036%,10.90
sterstarr,0.00036%,10.90
dingburpore,0.00036%,10.90
neasreal,0.00036%,10.90
0r3j,0.00036%,10.90
jclaspell,0.00036%,10.90
dy48,0.00036%,10.90
julienislife,0.00036%,10.90
ocmj6,0.00036%,10.90
19qq,0.00036%,10.90
pyz05,0.00036%,10.90
6zj4,0.00036%,10.90
t72z,0.00036%,10.90
